LINHA DIGITAVEL
'856300000010180400272233250020182565041133711808'
'856000000013282600272235250020182797541113705100'
'856600000009974400272239250020182771043600702609'
'856800000015270100272235250020182839341312147604'
'856000000005760500272231250020182847545484679000'
'856400000001736500272231250020182722541113705100'
'856600000009933400272235250020182722244109887608'
'856800000015727700272238250020182581543098159600'
'856300000002961400272236250020182888843600702602'
'856900000014417000272233250020182888142635381502'
'856600000009966100272238250020182524642649616801'
'856600000009760500272231250020182870145484679009'
'856800000015051100272239250020182771941113705102'
'856000000005739700272233250020182771443938512409'
'856200000003751000272235250020182797041113705101'
'856400000027338700272234250020182904242158675601'
'856000000005795500272237250020182771545097034205'
'856900000022436200272231250020182789140348237003'
'856700000008912000272233250020182417440123931303'
'856600000009909700272232250020182664843614080003'
'856300000010181100272234250020182854145164855002'
'856900000006947700272232250020182771241343427209'
'856300000002880000272232250020182912040123931301'
'856400000001745200272235250020182672342481516009'
'856500000018727700272238250020182904741134940807'
'856800000015012700272235250020182888641134940809'
'856700000032015200272233250020182508641113705108'
'856700000016273900272231250020182763840130574808'
'856900000006841200272232250020182789540123931300'
'856800000015441100272232250020182722840123931304'
'856200000011207700272231250020182565344334318609'
'856100000004779700272239250020182409545353013000'
'856300000002839700272231250020182789341369985005'
'856400000001878300272233250020182896543274923407'
'856200000011115800272235250020182805645076507005'
'856200000011279000272237250020182920040735425007'
'856500000000199203242029503310120251000011180890'
'856300000002030403242024503310120251000011181153'
'856900000006012903242027503310120251000011181336'
'856100000004151403242028503310120251000011181427'
'856700000008004303242020503310120251000011181401'
'856600000009291503242021503310120251000011181609'
'856500000000178403242021503310120251000011181658'
'856000000005008103242023503310120251000011181781'
'856200000003012803242028503310120251000011182078'
'856500000000012803242028503310120251000011182441'
'856700000008146203242020503310120251000011180981'
'856900000006065603242028503310120251000011181005'
'856600000009039803242021503310120251000011181039'
'856000000005008703242027503310120251000011181377'
'856700000008414903242025503310120251000011181526'
'856800000007012803242028503310120251000011182094'
'856600000009012803242028503310120251000011182482'
'856000000005012803242028503310120251000011182466'
'856300000002012803242028503310120251000011182599'
'856700000008012803242028503310120251000011182813'
'856400000001012703242029503310120251000011183209'
'856800000007012703242029503310120251000011183183'
'856900000006012603242020503310120251000011183563'
'856500000000012603242020503310120251000011183639'
'856900000006012603242020503310120251000011183613'
'856000000005077103242028503310120251000011183936'
'856400000001182603242021503310120251000011184017'
'856100000004063503242024503310120251000011184181'
'856500000000326003242020503310120251000011184389'
'856000000005186603242022503310120251000011184652'
'856600000009064503242022503310120251000011184728'
'856600000009084503242020503310120251000011184850'
'856500000000034303242027503310120251000011184942'
'856500000000062003242021503310120251000011185048'
'856600000009082603242023503310120251000011185147'
'856600000009212003242022503310120251000011185188'
'856000000005070803242026503310120251000011185428'
'856900000006420803242023503310120251000011181500'
'856600000009166503242025503310120251000011181765'
'856600000009095203242029503310120251000011182011'
'856100000004175503242026503310120251000011181989'
'856000000005205403242022503310120251000011182052'
'856200000003012803242028503310120251000011182268'
'856900000006012803242028503310120251000011182425'
'856900000006012803242028503310120251000011182995'
'856600000009012703242029503310120251000011183241'
'856200000003012603242020503310120251000011183316'
'856400000001012803242028503310120251000011182920'
'856000000005012703242029503310120251000011183225'
'856100000004012603242020503310120251000011183365'
'856800000007062703242024503310120251000011183878'
'856700000016568003242027503310120251000011183845'
'856800000007065903242025503310120251000011183977'
'856700000008142503242026503310120251000011184355'
'856500000000088903242027503310120251000011184462'
'856400000001025103242027503310120251000011184421'
'856500000000327803242020503310120251000011184579'
'856300000002027603242028503310120251000011181179'
'856200000003446603242020503310120251000011181476'
'856400000001048903242021503310120251000011181617'
'856900000006242103242028503310120251000011181955'
'856800000007113303242029503310120251000011182003'
'856700000008012803242028503310120251000011182243'
'856600000009012803242028503310120251000011182342'
'856300000002012803242028503310120251000011182839'
'856900000006012803242028503310120251000011182755'
'856200000003231903242023503310120251000011184603'
'856400000001012803242028503310120251000011183100'
'856500000000068103242027503310120251000011184702'
'856100000004012603242020503310120251000011183415'
'856000000005048103242029503310120251000011184785'
'856800000007012603242020503310120251000011183472'
'856200000003033203242020503310120251000011184876'
'856100000004184803242025503310120251000011183910'
'856100000004457903242024503310120251000011184991'
'856000000005051103242023503310120251000011184231'
'856400000001203203242029503310120251000011185089'
'856000000005062803242023503310120251000011184611'
'856300000002079303242022503310120251000011186855'
'856200000003046003242024503310120251000011184892'
'856000000005058503242024503310120251000011186210'
'856100000004103503242028503310120251000011184967'
'856800000007228703242021503310120251000011199791'
'856700000008195403242025503310120251000011185246'
'856200000003266703242021503310120251000011200045'
'856600000009236003242021503310120251000011185329'
'856400000001060603242029503310120251000011185469'
'856900000006012703242029503310120251000011183134'
'856000000005012603242020503310120251000011183514'
'856000000005200203242025503310120251000011195369'
'856400000001118703242024503310120251000011183704'
'856300000002083403242023503310120251000011196474'
'856800000007192503242021503310120251000011199601'
'856300000002253803242028503310120251000011183779'
'856700000008268303242021503310120251000011199700'
'856600000009050703242029503310120251000011184041'
'856100000004015103242028503310120251000011199957'
'856800000007117303242020503310120251000011184132'
'856200000003715903242025503310120251000011200151'
'856800000007629403242023503310120251000011184439'
'856100000004505203242027503310120251000011200078'
'856500000000352103242025503310120251000011184504'
'856100000004157603242023503310120251000011200292'
'856800000007563403242024503310120251000011184538'
'856800000007088303242023503310120251000011200409'
'856400000001207203242020503310120251000011184488'
'856200000003082403242025503310120251000011201431'
'856000000005814703242028503310120251000011184546'
'856900000006233703242021503310120251000011181252'
'856200000003241003242021503310120251000011184645'
'856500000000054803242020503310120251000011184769'
'856200000003014603242026503310120251000011181310'
'856300000002375903242028503310120251000011181559'
